Value,Type,Reference,Bedrooms,Bathrooms,Furnishing,Size,Amenities,Agency,Location
"6,500 QAR Monthly",Apartment,AP2831,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Marina Gate - Porto Arabia - The Pearl - Doha
"7,000 QAR Monthly",Apartment,AP2812,studio,1,Furnished,                                        667 sqft                          /              62 sqm                      ,Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, West Bay Villas - West Bay - West Bay - Doha
"6,700 QAR Monthly",Apartment,AP2820,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Imperial Diamond - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2639B,studio,1,Partly furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Viva West - Viva Bahriyah - The Pearl - Doha
"7,500 QAR Monthly",Apartment,403-WB-STU-FF,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,ABHome Real Estate, West Bay Tower - West Bay - West Bay - Doha
"6,500 QAR Monthly",Apartment,AP2639.,studio,1,Partly furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Imperial Diamond - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,AP2829,studio,1,Partly furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Marina Gate - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2828,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Marina Gate - Porto Arabia - The Pearl - Doha
"6,600 QAR Monthly",Apartment,5303-VB-ST66-FF,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,ABHome Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"6,700 QAR Monthly",Apartment,nelsonpark-1957510,studio,1,Furnished,                                        570 sqft                          /              53 sqm                      ,Balcony - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,NelsonPark Property , Viva West - Viva Bahriyah - The Pearl - Doha
"6,800 QAR Monthly",Apartment,ONE-2082,studio,1,Furnished,                                        603 sqft                          /              56 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,One Percent Real Estate , Viva East - Viva Bahriyah - The Pearl - Doha
"6,600 QAR Monthly",Apartment,loftbureau-1956370,studio,1,Furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Security - Shared Gym - Shared Pool - Shared Spa - View of Landmark - View of Water,The Loft Bureau Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"9,500 QAR Monthly",Apartment,A1590626,studio,1,Furnished,                                        689 sqft                          /              64 sqm                      ,Balcony - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Private Gym - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Fookis Real Estate, Viva Central - Viva Bahriyah - The Pearl - Doha
"6,700 QAR Monthly",Apartment,wcp_304,studio,1,Furnished,                                        570 sqft                          /              53 sqm                      ,Balcony - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,World Class Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,AP5819,studio,1,Partly furnished,                                        646 sqft                          /              60 sqm                      ,,MD Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"9,350 QAR Monthly",Apartment,AP5743,studio,Furnished,                                        753 sqft                          /              70 sqm                      ,,MD Properties, West Bay Tower - West Bay - West Bay - Doha
"6,700 QAR Monthly",Apartment,A1626548,studio,1,Furnished,                                        689 sqft                          /              64 sqm                      ,Balcony - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Private Gym - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Fookis Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2639-,studio,1,Partly furnished,                                        657 sqft                          /              61 sqm                      ,, Capstone Property, Costa del Sol - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,VB26-ST1,studio,1,Unfurnished,                                        506 sqft                          /              47 sqm                      ,Central A/C - Covered Parking - Shared Gym - Shared Pool,Al Asmakh Real Estate, Tower 26 - Viva Bahriyah - The Pearl - Doha
"8,500 QAR Monthly",Apartment,1103-WB-STU-FF,studio,1,Furnished,                                        463 sqft                          /              43 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - Shared Spa - Walk-in Closet,ABHome Real Estate, West Bay Tower - West Bay - West Bay - Doha
"4,800 QAR Monthly",Apartment,nelsonpark-1945616,studio,1,Furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Covered Parking - Security - Shared Pool,NelsonPark Property , Al Sadd Road - Al Sadd - Doha
"7,200 QAR Monthly",Apartment,AP5657,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,,MD Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,1703-WB-STU-FF,studio,1,Furnished,                                        484 sqft                          /              45 sqm                      ,Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,ABHome Real Estate, West Bay Tower - West Bay - West Bay - Doha
"7,200 QAR Monthly",Apartment,AP2384.,studio,1,Furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - View of Water, Capstone Property, Imperial Ruby - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,nelsonpark-1939911,studio,1,Partly furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,NelsonPark Property , Tower 26 - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,bhomesqa-1923063,studio,1,Furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Tower 13 - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,loftbureau-1953807,studio,1,Partly furnished,                                        926 sqft                          /              86 sqm                      ,Balcony - Central A/C - Kitchen Appliances - Pets Allowed - Shared Gym - Shared Pool - View of Water,The Loft Bureau Real Estate, Tower 21 - Porto Arabia - The Pearl - Doha
"7,200 QAR Monthly",Apartment,AP2383,studio,1,Furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Imperial Amber - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,AP5758,studio,1,Partly furnished,                                        753 sqft                          /              70 sqm                      ,,MD Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"7,200 QAR Monthly",Apartment,AP2374,studio,1,Furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Imperial Diamond - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,L1793DA,studio,1,Partly furnished,                                        786 sqft                          /              73 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Children's Play Area - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Gulf Avenues Real Estate, Viva East - Viva Bahriyah - The Pearl - Doha
"7,400 QAR Monthly",Apartment,AP2520,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Viva Central - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,globalhorizon-1647362,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Pets Allowed - Security - Shared Pool - View of Water,Global Horizon , West Porto Drive - Porto Arabia - The Pearl - Doha
"9,000 QAR Monthly",Apartment,TPG-R-1172,studio,1,Furnished,                                        753 sqft                          /              70 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,The Pearl Gates, Viva West - Viva Bahriyah - The Pearl - Doha
"7,200 QAR Monthly",Apartment,Studio 60.5 sqm Aquasuites M,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Aquastone, Viva West - Viva Bahriyah - The Pearl - Doha
"7,200 QAR Monthly",Apartment,bhomesqa-1620355,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - View of Landmark - View of Water - Walk-in Closet,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,empireestate-1311934,studio,1,Partly furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Empire Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"2,725 QAR Monthly",Apartment,MCY/st/un,studio,1,Unfurnished,                                        323 sqft                          /              30 sqm                      ,Security - Shared Gym,Al Asmakh Real Estate, Barwa City - Mesaimeer - Doha
"6,000 QAR Monthly",Apartment,dohaavenue-1827890,studio,1,Furnished,                                        861 sqft                          /              80 sqm                      ,Balcony - Central A/C - Security - Shared Gym - Shared Pool,Doha Avenue Trading , Tower 13 - Porto Arabia - The Pearl - Doha
"5,200 QAR Monthly",Apartment,AP5459,studio,Furnished,                                        538 sqft                          /              50 sqm                      ,,MD Properties, Al Sadd Road - Al Sadd - Doha
"6,500 QAR Monthly",Apartment,empireestate-1882314,studio,1,Furnished,                                        807 sqft                          /              75 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Empire Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"2,900 QAR Monthly",Apartment,CAP36AKL - 001S,studio,1,Furnished,                                        431 sqft                          /              40 sqm                      ,Built in Wardrobes - Central A/C - Kitchen Appliances,Capital One Trading, CAP 36 - Ain Khaled - Doha
"9,500 QAR Monthly",Apartment,AP02WBL1-31,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - Shared Spa - View of Landmark - View of Water,FGREALTY Qatar, West Bay Tower - West Bay - West Bay - Doha
"7,200 QAR Monthly",Apartment,bhomesqa-1894848,studio,1,Furnished,                                        635 sqft                          /              59 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,apex-1843114,studio,1,Furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Apex Real Estate, Tower 23 - Viva Bahriyah - The Pearl - Doha
"8,100 QAR Monthly",Apartment,bhomesqa-1828675,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,Better Homes Qatar, Tower 14 - Viva Bahriyah - The Pearl - Doha
"7,000 QAR Monthly",Apartment,AP02PAL3-114,studio,1,Furnished,                                        807 sqft                          /              75 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,FGREALTY Qatar, Marina Gate - Porto Arabia - The Pearl - Doha
"2,725 QAR Monthly",Apartment,"MCY/st,un3",studio,1,Unfurnished,                                        323 sqft                          /              30 sqm                      ,Security - Shared Gym,Al Asmakh Real Estate, Barwa City - Mesaimeer - Doha
"2,725 QAR Monthly",Apartment,"MCY/1st,NATIVE",studio,1,Unfurnished,                                        323 sqft                          /              30 sqm                      ,Security - Shared Gym,Al Asmakh Real Estate, Barwa City - Mesaimeer - Doha
"6,500 QAR Monthly",Apartment,TPG-R-1073,studio,1,Furnished,                                        753 sqft                          /              70 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,The Pearl Gates, West Porto Drive - Porto Arabia - The Pearl - Doha
"6,000 QAR Monthly",Apartment,E-P01K6VB,studio,1,Partly furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,FGREALTY Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"7,500 QAR Monthly",Apartment,BIH-ABI-013,studio,1,Furnished,                                        753 sqft                          /              70 sqm                      ,Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - Study - View of Landmark - View of Water,Be In Homes Real Estate, City Center Towers - West Bay - Doha
"6,000 QAR Monthly",Apartment,dohaavenue-1847357,studio,1,Partly furnished,                                        753 sqft                          /              70 sqm                      ,Central A/C - Pets Allowed - Security - Shared Gym - Shared Pool,Doha Avenue Trading , Jumanah Tower 29 - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,TPVTHSTF,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,MS Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"2,000 QAR Monthly",Apartment,UFelvisStudio,studio,1,Unfurnished,                                        323 sqft                          /              30 sqm                      ,Pets Allowed,Maroon Homes, Umm Salal Ali - Umm Salal Ali - Doha
"6,000 QAR Monthly",Apartment,TPG-R-1267,studio,1,Partly furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Security - Shared Gym - Shared Pool,The Pearl Gates, West Porto Drive - Porto Arabia - The Pearl - Doha
"6,700 QAR Monthly",Apartment,Studio 56 Sqm Voda Suites M,studio,1,Furnished,                                        603 sqft                          /              56 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Aquastone, Viva West - Viva Bahriyah - The Pearl - Doha
"5,077 QAR Monthly",Apartment,organizer-1658092,studio,1,Furnished,                                        753 sqft                          /              70 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool,The Organizer Events & Real Estate , Viva West - Viva Bahriyah - The Pearl - Doha
"7,500 QAR Monthly",Apartment,AP02VBL2-28,studio,1,Partly furnished,                                        603 sqft                          /              56 sqm                      ,Balcony - Built in Wardrobes - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark,FGREALTY Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"2,500 QAR Monthly",Villa,LR - 202,studio,1,Unfurnished,                                        431 sqft                          /              40 sqm                      ,Pets Allowed,Land Royal, New Salata - New Salata - Salata - Doha
"2,725 QAR Monthly",Apartment,MCY/st/un2,studio,1,Unfurnished,                                        323 sqft                          /              30 sqm                      ,Security - Shared Gym,Al Asmakh Real Estate, Barwa City - Mesaimeer - Doha
"2,600 QAR Monthly",Apartment,saya-1855686,studio,1,Unfurnished,                                        280 sqft                          /              26 sqm                      ,,Saya Real Estate, Al Hanaa Street - Al Gharrafa - Doha
"6,000 QAR Monthly",Apartment,VB26-ST2A,studio,1,Unfurnished,                                        657 sqft                          /              61 sqm                      ,Central A/C - Covered Parking - Shared Gym - Shared Pool,Al Asmakh Real Estate, Tower 26 - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,DREK44,studio,1,Furnished,                                        764 sqft                          /              71 sqm                      ,Central A/C - Concierge - Covered Parking - Kitchen Appliances - Private Pool - Security - Shared Gym - Shared Pool - View of Water,Direct Real Estate , Tower 14 - Porto Arabia - The Pearl - Doha
"5,000 QAR Monthly",Apartment,globalhorizon-1648590,studio,1,Unfurnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Concierge - Kitchen Appliances - Shared Gym - Shared Pool,Global Horizon , Viva West - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,coreo-1631254,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Shared Gym - Shared Pool - View of Water,Coreo Real Estate , Viva Central - Viva Bahriyah - The Pearl - Doha
"7,000 QAR Monthly",Apartment,TPG-R-1078,studio,1,Furnished,                                        786 sqft                          /              73 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,The Pearl Gates, East Gate - West Bay Lagoon - Doha
"2,900 QAR Monthly",Apartment,CAP36AKL - 002,studio,1,Furnished,                                        431 sqft                          /              40 sqm                      ,,Capital One Trading, CAP 36 - Ain Khaled - Doha
"7,500 QAR Monthly",Apartment,AP02WBL5-43,studio,1,Furnished,                                        463 sqft                          /              43 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,FGREALTY Qatar, West Bay Tower - West Bay - West Bay - Doha
"6,500 QAR Monthly",Apartment,nelsonpark-1949903,studio,1,Furnished,                                        753 sqft                          /              70 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - Shared Spa,NelsonPark Property , Viva West - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,ONE-977,studio,1,Partly furnished,                                        678 sqft                          /              63 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,One Percent Real Estate , Viva East - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,AP01VBL6-28,studio,1,Partly furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,FGREALTY Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,bhomesqa-1944565,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maid Service - Security - Shared Gym - Shared Pool - View of Landmark - View of Water - Walk-in Closet,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"2,725 QAR Monthly",Apartment,"MCY/st,un2",studio,1,Unfurnished,                                        323 sqft                          /              30 sqm                      ,Security - Shared Gym,Al Asmakh Real Estate, Barwa City - Mesaimeer - Doha
"7,200 QAR Monthly",Apartment,AP2373.,studio,1,Furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances, Capstone Property, Viva Central - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2640,studio,1,Partly furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Costa del Sol - Viva Bahriyah - The Pearl - Doha
"6,000 QAR Monthly",Apartment,AP2668.,studio,1,Partly furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Imperial Diamond - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP5660,studio,1,Furnished,                                        753 sqft                          /              70 sqm                      ,,MD Properties, Porto Arabia Townhouses - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP2640.,studio,1,Partly furnished,                                        657 sqft                          /              61 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water, Capstone Property, Imperial Ruby - Viva Bahriyah - The Pearl - Doha
"7,000 QAR Monthly",Apartment,bhomesqa-1934268,studio,1,Partly furnished,                                        474 sqft                          /              44 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security,Better Homes Qatar, Medina Centrale - Medina Centrale - The Pearl - Doha
"7,000 QAR Monthly",Apartment,apex-1151168,studio,1,Furnished,                                        667 sqft                          /              62 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Shared Gym - Shared Pool - View of Water - Walk-in Closet,Apex Real Estate, Centara West Bay Residences & Suites Doha - Diplomatic Street - West Bay - Doha
"7,000 QAR Monthly",Apartment,parkavenue-1934014,studio,1,Furnished,                                        807 sqft                          /              75 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Security - Shared Gym - Shared Pool,Park Avenue Realty CO. , Tower 29 - Viva Bahriyah - The Pearl - Doha
"7,200 QAR Monthly",Apartment,bhomesqa-1938302,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,Better Homes Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,empireestate-1933524,studio,1,Furnished,                                        807 sqft                          /              75 sqm                      ,Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Empire Estate , East Porto Drive - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Apartment,TPG-R-1306,studio,1,Furnished,                                        753 sqft                          /              70 sqm                      ,Built in Wardrobes - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,The Pearl Gates, East Porto Drive - Porto Arabia - The Pearl - Doha
"6,700 QAR Monthly",Apartment,6503-VB-ST67-FF,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,ABHome Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"7,300 QAR Monthly",Apartment,YH-P1,studio,1,Furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Central A/C - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Enwan Property Management, Viva Central - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP5818,studio,1,Furnished,                                        947 sqft                          /              88 sqm                      ,,MD Properties, Porto Arabia Townhouses - Porto Arabia - The Pearl - Doha
"6,500 QAR Monthly",Apartment,bhomesqa-1927026,studio,1,Furnished,                                        560 sqft                          /              52 sqm                      ,Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym,Better Homes Qatar, Old Al Ghanim - Al Ghanim - Doha
"2,900 QAR Monthly",Apartment,CAP02GRF - 002.,studio,1,Furnished,                                        431 sqft                          /              40 sqm                      ,Built in Wardrobes - Kitchen Appliances,Capital One Trading, Souk Al gharaffa - Al Gharrafa - Doha
"6,500 QAR Monthly",Apartment,mtcqatar-1927294,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,MTC Qatar , Tower 13 - Porto Arabia - The Pearl - Doha
"7,500 QAR Monthly",Apartment,WCP_VB905,studio,1,Furnished,                                        635 sqft                          /              59 sqm                      ,Balcony - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,World Class Properties, Viva West - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,AP01PAL1-46,studio,1,Partly furnished,                                        700 sqft                          /              65 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,FGREALTY Qatar, Marina Gate - Porto Arabia - The Pearl - Doha
"7,200 QAR Monthly",Apartment,L1777DA,studio,1,Furnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Children's Play Area - Concierge - Covered Parking - Kitchen Appliances - Lobby in Building - Security - Shared Gym - Shared Pool,Gulf Avenues Real Estate, Viva West - Viva Bahriyah - The Pearl - Doha
"6,500 QAR Monthly",Apartment,HDR-11961,studio,1,Partly furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"1,150,000 QAR Monthly",Apartment,apex-1852050,studio,1,Unfurnished,                                        700 sqft                          /              65 sqm                      ,Built in Wardrobes - Central A/C - Concierge - Covered Parking - Pets Allowed - Security - Shared Gym - Shared Pool - View of Water,Apex Real Estate, Tower 13 - Porto Arabia - The Pearl - Doha
"6,000 QAR Monthly",Apartment,"VB26/ST,3",studio,1,Unfurnished,                                        506 sqft                          /              47 sqm                      ,Central A/C - Covered Parking - Shared Gym - Shared Pool,Al Asmakh Real Estate, Tower 26 - Viva Bahriyah - The Pearl - Doha
"3,500 QAR Monthly",Apartment,STU SUNRISE,studio,1,Furnished,                                        431 sqft                          /              40 sqm                      ,Kitchen Appliances,Homes 2 Rent , Al Thumama - Al Thumama - Doha
"7,200 QAR Monthly",Apartment,bhomesqa-1858829,studio,1,Furnished,                                        635 sqft                          /              59 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark,Better Homes Qatar, Viva West - Viva Bahriyah - The Pearl - Doha
"6,600 QAR Monthly",Apartment,coreo-1838164,studio,1,Furnished,                                        603 sqft                          /              56 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Shared Gym - Shared Pool,Coreo Real Estate , Viva Central - Viva Bahriyah - The Pearl - Doha
