Value,Type,Reference,Bedrooms,Bathrooms,Furnishing,Size,Amenities,Agency,Location
"13,846 QAR Monthly",Villa,AR-DQ-15,4 + Maids Room,6,Partly furnished,"                                        3,767 sqft                          /              350 sqm                      ",Balcony - Barbecue Area - Built in Wardrobes - Central A/C - Children's Play Area - Children's Pool - Concierge - Covered Parking - Kitchen Appliances - Lobby in Building - Maid Service - Maids Room - Networked - Pets Allowed - Security - Shared Gym - Shared Pool - Shared Spa - Study - View of Landmark - View of Water - Walk-in Closet,Danat Qatar, Al Fardan Gardens 02 - Al Waab - Doha
"14,000 QAR Monthly",Villa,NG00111,4 + Maids Room,5,Partly furnished,"                                        3,498 sqft                          /              325 sqm                      ",Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Maids Room - Security,International Trade and Development , Bin Omran - Fereej Bin Omran - Doha
"23,000 QAR Monthly",Villa,ARV-R,4 + Maids Room,5,Partly furnished,"                                        5,909 sqft                          /              549 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Maids Room - Private Garden - Security - Shared Gym - Shared Pool - Study,Prime Lands Real Estate Development L.L.C., Bin Omran - Fereej Bin Omran - Doha
"12,000 QAR Monthly",Compound,DRER17,4 + Maids Room,4,Partly furnished,"                                        4,844 sqft                          /              450 sqm                      ",Built in Wardrobes - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Security - Shared Gym - Shared Pool,Direct Real Estate , Ain Khaled - Ain Khaled - Doha
"15,000 QAR Monthly",Compound,RMG-4BLR,4 + Maids Room,5,Partly furnished,"                                        3,401 sqft                          /              316 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Security - Shared Gym - Shared Pool,The Hub Real Estate , Al Waab - Al Waab - Doha
"17,000 QAR Monthly",Compound,AMC 1 A TYPE,4 + Maids Room,4,Partly furnished,"                                        2,691 sqft                          /              250 sqm                      ",Covered Parking - Kitchen Appliances - Maids Room - Private Garden - Security - Shared Gym - Shared Pool,Al Mirqab Real Estate, Al Waab - Al Waab - Doha
"35,000 QAR Monthly",Penthouse,nelsonpark-1918856,4 + Maids Room,6,Furnished,"                                        6,458 sqft                          /              600 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Maids Room - Pets Allowed - Security - Shared Gym - Shared Pool - Shared Spa - Study - View of Landmark - View of Water - Walk-in Closet,NelsonPark Property , Porto Arabia - The Pearl - Doha
"9,000 QAR Monthly",Villa,HM-284,4,4,Partly furnished,"                                        3,767 sqft                          /              350 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Kitchen Appliances - Security,Hamat Muthar Real Estate & Contracting, Al Waab - Al Waab - Doha
"9,500 QAR Monthly",Compound,unicorn-1890708,4,4,Unfurnished,"                                        3,229 sqft                          /              300 sqm                      ",Covered Parking - Shared Gym - Shared Pool,Unicorn Real Estate, Ain Khaled - Ain Khaled - Doha
"10,000 QAR Monthly",Villa,binajlan-1903663,4,4,Unfurnished,"                                        4,844 sqft                          /              450 sqm                      ",,Bin Ajlan Real Estate Group , Al Rayyan - Al Rayyan - Doha
"11,000 QAR Monthly",Compound,unicorn-1902832,4,4,Partly furnished,"                                        3,229 sqft                          /              300 sqm                      ",Covered Parking - Security - Shared Gym - Shared Pool - View of Landmark,Unicorn Real Estate, Muraikh - AlMuraikh - Doha
"16,000 QAR Monthly",Compound,nelsonpark-1902430,4 + Maids Room,6,Unfurnished,"                                        1,615 sqft                          /              150 sqm                      ",Central A/C - Kitchen Appliances - Maids Room - Shared Gym - Shared Pool,NelsonPark Property , Bin Omran - Fereej Bin Omran - Doha
"11,000 QAR Monthly",Villa,L1599DA,4,4,Unfurnished,"                                        2,992 sqft                          /              278 sqm                      ",Built in Wardrobes - Children's Play Area - Covered Parking - Shared Gym - Shared Pool,Gulf Avenues Real Estate, Al Aziziyah - Al Aziziyah - Doha
"15,000 QAR Monthly",Villa,NPP-1879838-NPR,4,3,Partly furnished,"                                        3,444 sqft                          /              320 sqm                      ",Built in Wardrobes - Security - Shared Gym - Shared Pool,NelsonPark Property , Al Waab - Al Waab - Doha
"20,000 QAR Monthly",Villa,NPP-1879937-NPR,4,4,Partly furnished,"                                        2,153 sqft                          /              200 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Private Garden - Security - Shared Gym - Shared Pool,NelsonPark Property , Al Waab - Al Waab - Doha
"11,000 QAR Monthly",Villa,L1599DA,4,4,Unfurnished,"                                        2,992 sqft                          /              278 sqm                      ",Built in Wardrobes - Children's Play Area - Covered Parking - Shared Gym - Shared Pool,Gulf Avenues Real Estate, Al Aziziyah - Al Aziziyah - Doha
"15,000 QAR Monthly",Villa,NPP-1879838-NPR,4,3,Partly furnished,"                                        3,444 sqft                          /              320 sqm                      ",Built in Wardrobes - Security - Shared Gym - Shared Pool,NelsonPark Property , Al Waab - Al Waab - Doha
"14,750 QAR Monthly",Apartment,waseef-1034798,4,4,Furnished,"                                        2,605 sqft                          /              242 sqm                      ",Balcony - Central A/C - Concierge - Covered Parking - Private Pool - Security - Shared Gym - Shared Pool - Shared Spa - View of Water,Waseef, ASAS Twin Towers - West Bay - Doha
"15,000 QAR Monthly",Villa,VI5481,4,3,Unfurnished,"                                        1,938 sqft                          /              180 sqm                      ",,MD Properties, Bin Omran - Fereej Bin Omran - Doha
"20,000 QAR Monthly",Apartment,bhomesqa-1870748,4 + Maids Room,3,Partly furnished,"                                        2,992 sqft                          /              278 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Maids Room - Security - Shared Gym - Shared Pool,Better Homes Qatar, Musheireb - Musheireb - Doha
"12,000 QAR Monthly",Compound,watsons-1872236,4,4,Unfurnished,"                                        3,229 sqft                          /              300 sqm                      ",Covered Parking - Shared Gym - Shared Pool,Watsons Properties, Al Duhail - Al Duhail - Doha
"12,000 QAR Monthly",Villa,L1705DA,4,4,Partly furnished,"                                        3,358 sqft                          /              312 sqm                      ",Built in Wardrobes - Children's Play Area - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Gulf Avenues Real Estate, Ain Khaled - Ain Khaled - Doha
"20,000 QAR Monthly",Duplex,bhomesqa-1875789,4,4,Partly furnished,"                                        2,992 sqft                          /              278 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool,Better Homes Qatar, Musheireb - Musheireb - Doha
"23,000 QAR Monthly",Compound,NPP-1879836-NPR,4 + Maids Room,4,Partly furnished,"                                        4,844 sqft                          /              450 sqm                      ",Balcony - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Private Garden - Security - Shared Pool - View of Water,NelsonPark Property , West Bay Lagoon - West Bay Lagoon - Doha
"10,000 QAR Monthly",Villa,bhomesqa-1894857,4,3,Partly furnished,"                                        2,691 sqft                          /              250 sqm                      ",Covered Parking - Security,Better Homes Qatar, Al Gharrafa - Al Gharrafa - Doha
"14,500 QAR Monthly",Compound,nelsonpark-1892451,4 + Maids Room,4,Partly furnished,"                                        3,767 sqft                          /              350 sqm                      ",Built in Wardrobes - Covered Parking - Kitchen Appliances - Maids Room - Pets Allowed - Security - Shared Gym - Shared Pool,NelsonPark Property , Al Waab - Al Waab - Doha
"9,000 QAR Monthly",Apartment,almardya-1893000,4,3,Unfurnished,"                                        1,722 sqft                          /              160 sqm                      ",Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Al Mardya, Al Duhail - Al Duhail - Doha
"15,000 QAR Monthly",Villa,hbk-1890280,4 + Maids Room,5,Partly furnished,"                                        3,358 sqft                          /              312 sqm                      ",Balcony - Built in Wardrobes - Covered Parking - Kitchen Appliances - Maids Room - Private Garden - Shared Gym - Shared Pool,HBK Real Estate , Ain Khaled - Ain Khaled - Doha
